city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,ведение переговоров,настройка пк,навыки продаж,активные продажи,настройка сетевых подключений,настройка по,электронная почта,техническая эксплуатация,компонентный ремонт техники,"ремонт телефонов, планшетов, ноутбуков",other
Санкт-Петербург,Аэропорт Пулково (ООО Воздушные Ворота Северной Столицы),2019-12-13T11:43:44+0300," Обязанности:     проведение процедур закупок в соответствии с 223-ФЗ по направлению IT: поставка оборудования, программного обеспечения и расходных материалов для IT-оборудования, ремонт и техническое обслуживание IT-оборудования;   оформление закупочной документации и протоколов по результатам закупок;   ведение переговоров с поставщиками;   заключение договоров по результатам закупок;   обеспечение оптимальных условий сотрудничества с поставщиками.     Требования:     высшее образование;   опыт работы от 3-х лет в сфере закупок (обязательно по направлению IT: программное обеспечение и оборудование);   владение английским языком на уровне intermediate (как преимущество);   уверенный пользователь ПК;   знание 223-ФЗ и 135-ФЗ (как преимущество);   знание IT-рынка, принципов закупочной деятельности, договорной работы;   внимательность, ответственность, грамотная письменная и устная речь.     Условия:     пятидневная рабочая неделя с 08:30 до 17:30;   оформление по ТК РФ;   ДМС, включая стоматологию (после испытательного срока);   корпоративная развозка от/до ст.м. Московская/Авиагородка.   ",Полная занятость,Полный день,От 3 до 6 лет,|Английский язык|Закупки|223-ФЗ|135-ФЗ|закупка it-оборудования,6.0,83666.66666666669,3.0,46857.142857142855,ведущий специалист отдела закупок техники и оборудования,Высшее образование. Опыт работы от 3-х лет в сфере закупок (обязательно по направлению IT: программное обеспечение и оборудование). ,"Проведение процедур закупок в соответствии с 223-ФЗ по направлению IT: поставка оборудования, программного обеспечения и расходных материалов для IT...",0.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Санкт-Петербург,ЭР-Телеком,2019-11-21T20:43:14+0300,"  Обязанности:      Работа с физическими лицами на территории Клиентов;   Осуществление монтажных работ по подключению Клиентов (прокладка кабеля от установленного оборудования до квартиры; обжимка кабеля; закрепление кабеля наружным способом);   Подключение услуг и первичная настройка сетевого оборудования;   Информирование Клиента о действующих тарифах, акциях, скидках;   Заполнение актов выполненных работ, договоров и бланков;   Отчетность.      Мы ждем:      Уверенных пользователей ПК;   Умеющих работать с электроинструментом (перфоратором, дрелью);   Готовых к большому объёму работы;   Аккуратных, вежливых, пунктуальных;   Готовых к разъездному характеру работы;   Желательно с опытом работы со слаботочными системами.      Условия:      Сдельно-премиальная оплата труда, доход от 55 000 руб/мес ;   График работы: 5/2;   Оформление по ТК РФ, белая заработная плата;   Выплата больничных и отпускных;   Работа разъездного характера;   Предоставляем форму и инструменты;   Возможность обучения и карьерного роста.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,80000.0,1.0,55000.0,монтажник слаботочных систем техник по подключению,"Уверенных пользователей ПК. Умеющих работать с электроинструментом (перфоратором, дрелью). Готовых к большому объёму работы. Аккуратных, вежливых, пунктуальных. Готовых к разъездному...",Работа с физическими лицами на территории Клиентов. Осуществление монтажных работ по подключению Клиентов (прокладка кабеля от установленного оборудования до квартиры...,0.7333333333333333,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Санкт-Петербург,ЭР-Телеком,2019-12-12T14:04:03+0300,"   Что нужно делать:       Взаимодействовать с физическими лицами (на территории клиентов);   Осуществлять монтажные работы по подключению клиентов (прокладка кабеля от установленного оборудования до квартиры, обжимка кабеля,крепление кабеля наружным способом);   Подключать услуги и производить первичную настройку;   Информировать клиента о действующих тарифах, акциях, скидках;   Заполнять акты выполненных работ, договоров и бланков;   Вести отчетность.       Что нужно от Вас:       Опыт работы в данной сфере будет вашим преимуществом;   Готовность к разъездному характеру работы;   Коммуникабельность;   Уверенный пользователь ПК.       Условия:       Сдельно-премиальная оплата труда, доход от 45 000 руб/мес ;   График работы: 5/2   Оформление по ТК РФ, белая заработная плата;   Выплата больничных и отпускных;   Индивидуальное построение смен (ненормированный рабочий день);   Работа разъездного характера;   Форма, инструменты и расходные материалы предоставляются;   Обучение за счет компании;   Карьерный рост.   ",Полная занятость,Полный день,Нет опыта,|Работа с людьми,,83666.66666666669,,45000.0,техник по подключению монтажник,Опыт работы в данной сфере будет вашим преимуществом. Готовность к разъездному характеру работы. Коммуникабельность. Уверенный пользователь ПК.,Взаимодействовать с физическими лицами (на территории клиентов). Осуществлять монтажные работы по подключению клиентов (прокладка кабеля от установленного оборудования до квартиры...,0.03333333333333333,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Екатеринбург,ЭР-Телеком,2019-12-13T07:13:01+0300," Обязанности:     осуществление монтажных работ по подключению клиента (интернет, ЦТВ и КТВ, городская связь)   работы с электроинструментом и специализированным инструментом для подключения   ведение отчётности.     Требования:     желателен навык подключения услуг доступа в интернет и телевидения;   приветствуется опыт работы с СКС, СКУД, ОПС;   возможно без опыта работы - мы всему научим!     Условия:     официальное трудоустройство в соответствии с ТК РФ   &quot;белая&quot; своевременная оплата труда (сдельно-премиальная)   перспективы профессионального роста   бесплатное корпоративное обучение   разъездной характер работы   Ждем Вас в нашу команду профессионалов!   ",Полная занятость,Сменный график,Нет опыта,,,60000.0,,45000.0,техник по подключению абонентов,"Желателен навык подключения услуг доступа в интернет и телевидения. Приветствуется опыт работы с СКС, СКУД, ОПС. Возможно без опыта работы...","Осуществление монтажных работ по подключению клиента (интернет, ЦТВ и КТВ, городская связь). Работы с электроинструментом и специализированным инструментом для подключения. ",0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,Крона-КС,2019-12-12T07:05:52+0300,"  Группа Компаний Крона КС приглашает в свою команду менеджера по продажам компьютерной техники     Чем предстоит заниматься     - Активно налаживать долгосрочные связи с представителями бизнесов различных масштабов;   - Расширять существующую клиентскую базу компании путём привлечения новых потенциальных партнёров и заказчиков (телефонные звонки, встречи, переписка, skype);   - Продавать продукты и услуги компании корпоративным клиентам;   - Создавать презентации, готовить коммерческие предложения для потенциальных клиентов, с учётом их потребностей и пожеланий.         Что для этого необходимо     - Высшее образование;   - Знания в области информационных технологий (мы продаём технически сложный продукт, котором необходимо хорошо разбираться);   - Опыт работы с крупными предприятиями сегмента b2b, а также опыт ведения сложных сделок на IT -рынке будет преимуществом;   - Готовность тратить 70% и более процентов рабочего времени на телефонные звонки, переписку и ведение переговоров с потенциальными клиентами.         Каким мы видим нашего сотрудника     - Умеет обрабатывать большой поток информации;   - Открыт в общении и легко устанавливает контакты с новыми людьми;   - Не боится переговоров на уровне первых лиц предприятия;   - Использует рабочее время с максимальной эффективностью;   - Не нуждается в постоянном контроле со стороны руководителя;   - Не пасует перед трудностями;   - Не обязательно имеет большой опыт продаж, но готов учиться и развиваться в этой области.         Что мы предлагаем     - Действительно высокий уровень дохода – предусмотрен твердый оклад и процент от продаж. Чем больше услуг и продуктов компании вы продадите, тем выше будет сумма оплаты. Мы не ограничиваем вас – выполняя и превышая план, вы обеспечиваете себе стабильный высокий доход;   - Трудоустройство в полном соответствии с ТК РФ;   - Возможность обучения и регулярного повышения квалификации;   - Гибкий график работы, с возможностью сдвига начала рабочего дня;   - Налаженная система наставничества для новичков, не имеющих опыта работы в продажах;   - Комфортный офис, дружелюбный коллектив, частичная компенсация питания.     ",Полная занятость,Полный день,Нет опыта,|Знание IT технологий|Ведение переговоров|Активные продажи|B2B Продажи|Проведение презентаций,,49400.0,,39800.0,менеджер по продажам компьютерной техники,"Высшее образование. - Знания в области информационных технологий (мы продаём технически сложный продукт, котором необходимо хорошо разбираться). - Опыт работы с крупными...","Расширять существующую клиентскую базу компании путём привлечения новых потенциальных партнёров и заказчиков (телефонные звонки, встречи, переписка, skype). - Продавать продукты и...",0.03333333333333333,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
Екатеринбург,ЭР-Телеком,2019-12-13T07:13:01+0300,      Обязанности:      эксплуатация сети кабельного телевидения и интернета;   обнаружение и устранение неполадок;   обслуживание абонентов;   замена оборудования.     Требования:     среднее профессиональное или высшее образование;   опыт работы в сфере связи;   опыт работы с устранением неполадок и сбоев.     Условия:     официальное трудоустройство в соответствии с ТК РФ;   перспективы профессионального роста;   работа в команде профессионалов;   график работы 2/2 с 9.00-21.00;   100% &quot;белая&quot; заработная плата (оклад+премия по результатам работы);   район работы можно выбрать ближе к дому!   ,Полная занятость,Сменный график,От 1 года до 3 лет,,3.0,60000.0,1.0,47000.0,техник связи,Среднее профессиональное или высшее образование. Опыт работы в сфере связи. Опыт работы с устранением неполадок и сбоев.,Эксплуатация сети кабельного телевидения и интернета. Обнаружение и устранение неполадок. Обслуживание абонентов. Замена оборудования.,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,Сервис-Газификация,2019-12-03T07:57:40+0300," Обязанности:       Организация системы документооборота (получение и распределение) между участниками строительства в области проверки документации по строительству;       Проверка ведения общего и специальных журналов работ;       Формирование реестра замечаний и поддержание в актуальном состоянии;       Ведение архива документации;       Требования:     Опытный, уверенный пользователь ПК.   Продвинутый Excel (сводные таблицы, макросы).   Умение видеть читать(разбирать) чертежи.   Внимательность, ответственность, умение работать с большим количеством информации.     Как преимущество – работа в строительных организациях либо в организациях косвенно связанных со строительством. Студенты профильных строительных, технических учебных заведений.   Условия:     Официальное трудоустройство;   Уровень заработной платы по итогам собеседования;   ",Полная занятость,Полный день,Нет опыта,|MS PowerPoint|Документооборот|Работа с большим объемом информации|Документальное сопровождение|Ведение архива,,49400.0,,39800.0,техник аис нск,"Опытный, уверенный пользователь ПК. Продвинутый Excel (сводные таблицы, макросы). Умение видеть читать(разбирать) чертежи. Внимательность, ответственность, умение работать с большим...",Организация системы документооборота (получение и распределение) между участниками строительства в области проверки документации по строительству. Проверка ведения общего и специальных...,0.3333333333333333,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Екатеринбург,АйТиЭм Холдинг,2019-12-06T15:03:00+0300,"  Твои задачи:    • Фиксация в информационной системе изменений состояний хостов и ИТ сервисов средствами системы мониторинга; • Проведение первичной диагностики; • Делегирование проведения первичной диагностики смежному подразделению; • Постановка задачи на проведения аварийно-восстановительных работ смежному отделу.    Для нас важно:    • Свободное ориентирование в модели OSI: стек протоколов TCP/IP; • Технологии Ethernet IEEE 802.3: виды физических сред, формат кадра, адресация участников в сети Ethernet, vlan (802.1q); • Протоколы прикладного уровня: POP3, SMTP, SNMP, HTTP, DNS и аналогичные; • Опыт работы с управляемым коммутационным оборудованием Ethernet (Cisco Catalyst, 3com, SNR): vlan (802.1q), таблица коммутации, состояние портов; • Быстрое выполнение типовых задач.    Мы предлагаем:    • Четкую и прозрачную систему мотивации: оклад + KPI; • Участие в профессиональных конференциях и обучение в Корпоративном учебном центре; • Возможности для карьерного роста: ты будешь понимать, что нужно сделать для перехода на другой уровень; • Увлекательную корпоративную жизнь: конкурсы, спортивные мероприятия и многое другое; • Возможность предлагать рационализаторские идеи. Результатами твоей работы ежедневно будут пользоваться все сотрудники холдинга; • Удобный график работы: возможность делать график работы гибким, индивидуальным, работать удаленно; • Комфортные современные офисы; • Автоматизированные рабочие места, современные информационные системы; • Гарантированный социальный пакет (согласно ТК РФ); • Дополнительный соц.пакет:   - Компенсация сотовой связи; - Компенсация транспортных расходов; - 100% оплата доступа в Интернет для сотрудников, абонентов &quot;Планеты&quot;; - Поддержка в сложных жизненных ситуациях; • Дружный, молодой, талантливый коллектив. Уникальная атмосфера доверия, взаимопонимания, открытости и сотрудничества. Честное исполнение обязательств руководства перед сотрудниками и сотрудников перед компанией; • Возможности для реализации своего творческого потенциала в разных профессиональных сферах. ",Полная занятость,Полный день,От 1 года до 3 лет,|TCP/IP|техническая грамотность|внимание к деталям|взаимодействие с коллегами,3.0,49400.0,1.0,40000.0,техник,"Свободное ориентирование в модели OSI: стек протоколов TCP/IP. Технологии Ethernet IEEE 802.3: виды физических сред, формат кадра, адресация...",Фиксация в информационной системе изменений состояний хостов и ИТ сервисов средствами системы мониторинга. Проведение первичной диагностики. Делегирование проведения первичной диагностики...,0.23333333333333334,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Екатеринбург,"Форум-групп, Холдинг",2019-11-18T09:08:30+0300," Обязанности:     Эксплуатация систем СКУД (Parsec, BAS-IP, Apollo) и ВН (Трассир, регистраторы) на жилых и коммерческих объектах;     Навыки обслуживания сетей передачи данных (СКС);       Устранение аварийных ситуаций;       Понимание и чтение принципиальных схем, знать принцип работы автоматики;       Навыки пайки.       Требования:       Знание принципа работы современных систем СКС, СОТ, СКУД, ТВ;       Знания домофонных систем как координатных так и IP (Визит, BAS-IP);     Автоматика;   Умение работать руками в разных сверах эксплуатации;   Опыт работы: от 1 года;   Образование: среднее-специальное, высшее.     Условия:     Официальное трудоустройство;   График работы: 5/2 (с 9 до 18ч);   Заработная плата: 35 000   Место работы: элитный жилой комплекс в центре города, Сакко и Ванцетти;   Спецодежда, инструменты и оборудование предоставляются работодателем.   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,35000.0,1.0,39800.0,техник систем сот скс и скуд,"Эксплуатация систем СКУД (Parsec, BAS-IP, Apollo) и ВН (Трассир, регистраторы) на жилых и коммерческих объектах. Навыки обслуживания сетей передачи...",Устранение аварийных ситуаций.,0.8333333333333334,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,ИНСИС,2019-12-13T13:32:45+0300," Компания &quot;ИНСИС&quot; сегодня - это одна из ведущих компаний по предоставлению полного спектра услуг в области связи: интернет, видеонаблюдение, виртуальная телефония, цифровое телевидение и т.д.   Основная задача - устранять технические неисправности у клиентов. Наши клиенты: домашние пользователи и юридические лица.   Район работы - Сортировка.   Требования:     образование от среднего специального (желательно техническое);   опыт работы в данной сфере необязателен, мы готовы обучить;     Обязанности:     настройка, установка, устранение неполадок активного сетевого оборудования;   мониторинг загрузки ресурсов сети передачи данных и качества предоставления услуг;   настройка абонентских устройств.     Условия:     официальное трудоустройство;   обучение и закрепление наставника;   заработная плата : оклад 15000 + 2000 амортизация авто + премия, которая зависит от разряда техника связи, доход от 32 000 до 40 000 руб, есть возможность брать дополнительные смены и увеличивать свой доход ;   график работы 5/2 (пн.-пт.) 9.00-18.00, редко возможны переработки и они оплачиваются;   испытательный срок от 1 месяца;   офис расположен на Визе;   компенсация сотовой связи и ГСМ, амортизация автомобиля (+2000 к заработной плате),.   ",Полная занятость,Сменный график,Нет опыта,,,42000.0,,32000.0,техник связи,"Образование от среднего специального (желательно техническое). Опыт работы в данной сфере необязателен, мы готовы обучить.","Настройка, установка, устранение неполадок активного сетевого оборудования. Мониторинг загрузки ресурсов сети передачи данных и качества предоставления услуг. Настройка абонентских устройств.",0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,Звезда-СБ,2019-11-14T16:02:42+0300,"  Обязанности:      небольшие монтажные работы   выполнение ремонтных работ противопожарных систем (проверка и ремонт линий связи и оборудования)   испытание систем пожарной автоматики   обслуживание систем пожарной автоматики, охранных систем и прочих систем автоматики зданий      Требования:      наличие среднего технического образования   хорошая обучаемость   умение быстро находить нужную информацию   ответственность      Условия:      работа в крупной компании - лидера рынка   современный процесс обучения с видеороликами, он-лайн тестами, тренировкой на стендах и работа с опытными наставниками   современный, оснащенный программными продуктами производственный процесс   реальный карьерный рост   график: с пн-пт., 8 часовой день   ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,50000.0,1.0,39800.0,техник по обслуживанию опс,Наличие среднего технического образования. Хорошая обучаемость. Умение быстро находить нужную информацию. Ответственность.,Небольшие монтажные работы. Выполнение ремонтных работ противопожарных систем (проверка и ремонт линий связи и оборудования). Испытание систем пожарной автоматики. ,0.9666666666666667,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,НОВИТОН,2019-12-09T07:17:58+0300," Обязанности:     Прокладка кабеля, настройка и установка оборудования;   Монтаж и построение ЛВС, устранение неполадок, ремонт, настройка и подключение офисной техники, консультация и обучение пользователей по возникшим вопросам.     Требования:     Образование не ниже среднего;   Стрессоустойчивость, умение общаться с людьми;   Опытный пользователь ПК, знание основ и принципов построения сети интернет, сетей передачи данных;   Знание основ конфигурирования операционных систем Windows в рамках настройки доступа к сети;     Условия:     Работа по заявкам абонентов нашей сети (районы обслуживания: Компрессорный, Птицефабрика, Трактовая, Лечебный, Малый Исток, Кольцово, г. Арамиль (Центральный район)).;   Работа разъездного характера;   Оформление согласно ТК РФ;   Заработная плата от 35000 р график работы 2/2 c 09.00 до 20.00 молодой, дружный коллектив.   ",Полная занятость,Сменный график,Нет опыта,|Прокладка кабелей|Ремонт ПК|Настройка сетевых подключений|Настройка ПО|Настройка ПК,,49400.0,,35000.0,техник монтажник,"Образование не ниже среднего. Стрессоустойчивость, умение общаться с людьми. Опытный пользователь ПК, знание основ и принципов построения сети интернет, сетей...","Прокладка кабеля, настройка и установка оборудования. Монтаж и построение ЛВС, устранение неполадок, ремонт, настройка и подключение офисной техники, консультация и...",0.13333333333333333,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
Екатеринбург,Аэропорт Кольцово,2019-12-11T06:26:20+0300," Сегодня  &quot;Аэропорты Регионов&quot;  - ведущий аэропортовый холдинг России. Наша штаб - квартира расположена в Екатеринбурге, а также имеется представительство в Москве. Стратегический инвестор холдинга - Группа компаний &quot;Ренова&quot;   В настоящий момент в холдинг входят семь крупных международных аэропорта:     Международный аэропорт &quot;Кольцово&quot;, г. Екатеринбург,   Международный аэропорт &quot;Курумоч&quot;, г. Самара,   Международный аэропорт &quot;Стригино&quot;, г. Нижний Новгород.   Международный аэропорт &quot;Платов&quot;, г. Ростов-на-Дону   Международный аэропорт &quot;Гагарин&quot;, г. Саратов     Также мы реализуем проекты модернизации аэропортов Петропавловска-Камчатского и Нового Уренгоя.    Обязанности:      техническое обслуживание систем автоматики и КИП (УКУТ, АСПЗ, АПТ, СУДИО, автоматические двери);   монтаж, наладка систем автоматики и КИП;   прием заявок на неисправность систем;     Требования:     среднее профессиональное (техническое) образование;   опыт работы в данной сфере (ремонт, обслуживание, настройка оборудования);   знание систем: Карат конфигуратор, PProg (UProg);   знание английского языка (технический);     Условия:     официальное трудоустройство, полный соц. пакет, ДМС;   график работы: пятидневка;   работа на территории аэропорта Кольцово;   &quot;белая&quot; заработная плата;   возможность профессионального, карьерного развития;   дружный, молодой коллектив.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Монтаж оборудования|Техническое обслуживание|Монтаж инженерных систем,3.0,49400.0,1.0,39800.0,техник,"Среднее профессиональное (техническое) образование. Опыт работы в данной сфере (ремонт, обслуживание, настройка оборудования). Знание систем: Карат конфигуратор, PProg (UProg). ","Техническое обслуживание систем автоматики и КИП (УКУТ, АСПЗ, АПТ, СУДИО, автоматические двери). Монтаж, наладка систем автоматики и КИП. ",0.06666666666666667,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Новосибирск,"Новосибирский государственный университет экономики и управления, ГОУ",2019-12-13T05:18:47+0300," Обязанности:     Обработка заявок (первая линия технической поддержки)   Установка и настройка системного программного обеспечения компьютерных классов   Установка и настройка прикладного программного обеспечения компьютерных классов   Создание и использование технической документации   Диспетчеризация заявок, мониторинг их выполнения   Подготовка компьютерных классов к учебному процессу в свою смену – открытие класса, включение техники в начале смены и закрытие и выключение по её окончании   Основная работа в ПО ИнфраМенеджер и составление отчетов MS Word, Excel     Требования:       Средне-специальное, высшее образование       Без требований к стажу работы     Знание аппаратной части рабочих станций и периферийного оборудования   Опыт администрирования клиентских операционных систем Microsoft Windows (7 / 10), ОС на базе ядра Linux (Ubuntu, Debian, Астра-Линукс) будет плюсом   Опыт работы с офисным ПО   Опыт настройки офисной техники (принтеров, МФУ, сканеров)   Понимание принципов работы Microsoft Active Directory   Понимание принципов информационной безопасности   Знание английского языка на уровне чтения технической документации   Деловые и личностные качества: стрессоустойчивость, усидчивость, ответственность, пунктуальность     Условия:     Официальное трудоустройство согласно ТК РФ   Своевременная оплата труда 2 раза в месяц   Офис в центре города (10 мин. пешком от станции метро «Площадь Ленина»)   Наличие столовой с льготными ценами для сотрудников   График работы: сменный с 7:30 до 14:00 или с 14:00 до 21:35, выходной воскресенье и один день в течение недели за субботу   Полный рабочий день (на территории работодателя)   ",Полная занятость,Полный день,Нет опыта,,,64575.757575757576,,14000.0,техник лаборатории сопровождения компьютерных классов,"Средне-специальное, высшее образование. Без требований к стажу работы. Знание аппаратной части рабочих станций и периферийного оборудования. Опыт администрирования клиентских...",Обработка заявок (первая линия технической поддержки). Установка и настройка системного программного обеспечения компьютерных классов. Установка и настройка прикладного программного обеспечения...,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Новосибирск,Новосибирский театр оперы и балета,2019-12-04T12:26:40+0300," Обязанности:     Наладка, регулировка, техническое обслуживание систем автоматического пожаротушения   Ведение технической документации на оборудование и системы, на помещения, оснащенные пожарной автоматикой и первичными средствами пожаротушения   Проверка работоспособности насосной станции, пожарных гидрантов, пожарных кранов, первичных средств пожаротушения      Требования:      Высшее/среднее специальное техническое образование;   Аналогичный опыт работы не менее 2- ух лет;   Опыт работы с противопожарными системами: пожарная сигнализация, оповещение, автоматика пожаротушения и дымоудаления, внутреннее и наружное противопожарное водоснабжение      Идеальный кандидат будет обладать следующими качествами:      Ответственность за результат, пунктуальность, стрессоустойчивость   Оперативность, способность быстро и гибко реагировать на ситуацию в условиях многозадачности, внимательность   Активная жизненная позиция      Мы тщательно рассматриваем каждое резюме и свяжемся с теми кандидатами, чье резюме наиболее соответствует требованиям к вакантной должности .     ",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,64575.757575757576,1.0,14000.0,техник по обслуживанию систем автоматического пожаротушения,Высшее/среднее специальное техническое образование. Аналогичный опыт работы не менее 2- ух лет. Опыт работы с противопожарными системами: пожарная сигнализация...,"Наладка, регулировка, техническое обслуживание систем автоматического пожаротушения. Ведение технической документации на оборудование и системы, на помещения, оснащенные пожарной автоматикой и...",0.3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Казань,КомпьютерТрейд,2019-12-11T17:53:48+0300,"  Обязанности:      Работа с клиентами.   Оптовые и розничные продажи компьютерной техники.   Диагностика и прием б\у компьютерной техники.   Ремонт, настройка, модернизация ПК и Ноутбуков.     Требования:     Хорошее знание компьютерного «железа», цифровой техники   Опыт сборки‚ настройки, диагностики ПК и Ноутбуков, приветствуется.   Опыт работы в продажах, приветствуется.   Готовность трудиться на результат и добиваться поставленных целей.     Условия:     График работы 4/2.   Своевременные выплаты, авансы.   Возможность развития и карьерного роста.   Официальное Трудоустройство.   ",Полная занятость,Полный день,Нет опыта,|Работа с клиентами|Windows Os|Сборка ПК|Настройка ПК|Навыки продаж,,45000.0,,25000.0,менеджер по продажам компьютерной техники,"Хорошее знание компьютерного «железа», цифровой техники. Опыт сборки‚ настройки, диагностики ПК и Ноутбуков, приветствуется. Опыт работы в продажах, приветствуется. ","Работа с клиентами. Оптовые и розничные продажи компьютерной техники. Диагностика и прием б\у компьютерной техники. Ремонт, настройка, модернизация ПК...",0.06666666666666667,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Казань,"ГКУ Республиканский ресурсный центр Министерства труда, занятости и социальной защиты Республики Татарстан",2019-11-20T09:51:10+0300," Обязанности:     поддержание работы компьютерной техники, 30 машин;   поддержание работы сервера в Центральном офисе;   организация рабочих мест новых сотрудников, установка и настройка необходимого ПО на компьютеры;   поддержка и консультация пользователей;   своевременное исполнение поставленных задач;   устранение неисправностей компьютерного и серверного оборудования.     Требования:     опыт установки и поддержки ОС Windows (различных версий);   знание распространенного программного обеспечения (MS Office);   знание принципов работы сетевых протоколов, принципов построения компьютерных сетей;   знание аппаратной части РС и возможность диагностики и устранения неполадок.     Условия:     место работы: ул. Петербургская   график работы: с 9:00 до 18:00, 5/2, сб, вс- выходные;   официальное трудоустройство;   возможности для финансового и профессионального роста;   уровень оплаты труда обсуждается на собеседовании.   ",Полная занятость,Полный день,От 1 года до 3 лет,|Настройка сетевых подключений|Windows 7|Настройка ПК|Настройка ПО,3.0,45000.0,1.0,25000.0,техник,"Опыт установки и поддержки ОС Windows (различных версий). Знание распространенного программного обеспечения (MS Office). Знание принципов работы сетевых протоколов, принципов...","Поддержание работы компьютерной техники, 30 машин. Поддержание работы сервера в Центральном офисе. Организация рабочих мест новых сотрудников, установка и настройка...",0.7666666666666667,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
